"","date","season","team","elo","playoff","teamyear","GAME"
"342",2008-10-12,2008,"ATL",1428.911,0,"2008.ATL",6
"343",2008-10-26,2008,"ATL",1442.517,0,"2008.ATL",7
"344",2008-11-02,2008,"ATL",1429.468,0,"2008.ATL",8
"345",2008-11-09,2008,"ATL",1462.079,0,"2008.ATL",9
"346",2008-11-16,2008,"ATL",1486.373,0,"2008.ATL",10
"347",2008-11-23,2008,"ATL",1465.212,0,"2008.ATL",11
"348",2008-11-30,2008,"ATL",1496.335,0,"2008.ATL",12
"349",2008-12-07,2008,"ATL",1524.05,0,"2008.ATL",13
"350",2008-12-14,2008,"ATL",1510.941,0,"2008.ATL",14
"351",2008-12-21,2008,"ATL",1523.969,0,"2008.ATL",15
"352",2008-12-28,2008,"ATL",1555.237,0,"2008.ATL",16
"353",2009-09-13,2009,"ATL",1527.719,0,"2009.ATL",1
"354",2009-09-20,2009,"ATL",1546.986,0,"2009.ATL",2
"355",2009-09-27,2009,"ATL",1561.198,0,"2009.ATL",3
"356",2009-10-11,2009,"ATL",1541.021,0,"2009.ATL",4
"357",2009-10-18,2009,"ATL",1580.026,0,"2009.ATL",5
"358",2009-10-25,2009,"ATL",1594.856,0,"2009.ATL",6
"359",2009-11-02,2009,"ATL",1569.195,0,"2009.ATL",7
"360",2009-11-08,2009,"ATL",1557.837,0,"2009.ATL",8
"361",2009-11-15,2009,"ATL",1568.858,0,"2009.ATL",9
"362",2009-11-22,2009,"ATL",1545.254,0,"2009.ATL",10
"363",2009-11-29,2009,"ATL",1534.887,0,"2009.ATL",11
"364",2009-12-06,2009,"ATL",1540.329,0,"2009.ATL",12
"365",2009-12-13,2009,"ATL",1506.137,0,"2009.ATL",13
"366",2009-12-20,2009,"ATL",1498.799,0,"2009.ATL",14
"367",2009-12-27,2009,"ATL",1517.939,0,"2009.ATL",15
"368",2010-01-03,2009,"ATL",1535.875,0,"2009.ATL",16
"369",2010-09-12,2010,"ATL",1538.437,0,"2010.ATL",1
"370",2010-09-19,2010,"ATL",1524.421,0,"2010.ATL",2
"371",2010-09-26,2010,"ATL",1554.582,0,"2010.ATL",3
"372",2010-10-03,2010,"ATL",1576.234,0,"2010.ATL",4
"373",2010-10-10,2010,"ATL",1580.779,0,"2010.ATL",5
"374",2010-10-17,2010,"ATL",1597.626,0,"2010.ATL",6
"375",2010-10-24,2010,"ATL",1573.396,0,"2010.ATL",7
"376",2010-11-07,2010,"ATL",1585.46,0,"2010.ATL",8
"377",2010-11-11,2010,"ATL",1594.924,0,"2010.ATL",9
"378",2010-11-21,2010,"ATL",1610.374,0,"2010.ATL",10
"379",2010-11-28,2010,"ATL",1624.391,0,"2010.ATL",11
"380",2010-12-05,2010,"ATL",1636.507,0,"2010.ATL",12
"381",2010-12-12,2010,"ATL",1649.05,0,"2010.ATL",13
"382",2010-12-19,2010,"ATL",1659.874,0,"2010.ATL",14
"383",2010-12-27,2010,"ATL",1672.679,0,"2010.ATL",15
"384",2011-01-02,2010,"ATL",1654.33,0,"2010.ATL",16
"385",2011-09-11,2011,"ATL",1581.397,0,"2011.ATL",1
"386",2011-09-18,2011,"ATL",1555.707,0,"2011.ATL",2
"387",2011-09-25,2011,"ATL",1569.39,0,"2011.ATL",3
"388",2011-10-02,2011,"ATL",1555.861,0,"2011.ATL",4
"389",2011-10-09,2011,"ATL",1564.327,0,"2011.ATL",5
"390",2011-10-16,2011,"ATL",1545.496,0,"2011.ATL",6
"391",2011-10-23,2011,"ATL",1555.447,0,"2011.ATL",7
"392",2011-11-06,2011,"ATL",1579.367,0,"2011.ATL",8
"393",2011-11-13,2011,"ATL",1600.011,0,"2011.ATL",9
